

12863173	Bezahlt	23.04.2018	CHF454.00	
12863164	Bezahlt	23.04.2018	CHF454.00	
12862906	Bezahlt	23.04.2018	CHF275.00	
12853613	Bezahlt	22.04.2018	CHF179.00	
12671331	Bezahlt	09.03.2018	CHF86.85	
12657640	Bezahlt	17.03.2018	CHF553.95	
12438224	Bezahlt	08.02.2018	CHF236.05	
12406180	Bezahlt	02.02.2018	CHF71.85	
12387204	Bezahlt	29.01.2018	CHF687.00	
12336945	Bezahlt	21.01.2018	CHF239.00	
12276349	Bezahlt	12.01.2018	CHF71.70	
12275318	Bezahlt	12.01.2018	CHF215.00	
12257863	Bezahlt	06.01.2018	CHF469.00	
12249859	Bezahlt	06.01.2018	CHF460.80	
12202915	Bezahlt	28.12.2017	CHF299.00	
12200183	Bezahlt	28.12.2017	CHF42.00	
12196508	Bezahlt	28.12.2017	CHF469.00	
12169444	Bezahlt	24.12.2017	CHF1'499.00	
12111957	Bezahlt	17.12.2017	CHF397.00	
12092367	Bezahlt	15.12.2017	CHF95.00	
12091902	Bezahlt	15.12.2017	CHF53.00	
12090469	Bezahlt	15.12.2017	CHF338.00	
12089540	Bezahlt	15.12.2017	CHF51.75	
12078040	Bezahlt	14.12.2017	CHF1'376.90	
12055852	Bezahlt	10.12.2017	CHF298.00	
12037078	Bezahlt	08.12.2017	CHF149.00	
12024270	Bezahlt	07.12.2017	CHF137.70	
12021415	Bezahlt	07.12.2017	CHF269.00	
11997652	Bezahlt	04.12.2017	CHF194.35	
11986265	Bezahlt	02.12.2017	CHF507.00	
11601885	Bezahlt	28.09.2017	CHF90.00	
11599721	Bezahlt	25.09.2017	CHF54.00	
11579970	Bezahlt	22.09.2017	CHF50.00	
11566999	Bezahlt	21.09.2017	CHF50.00	
11508811	Bezahlt	09.09.2017	CHF61.20	
11435559	Bezahlt	26.08.2017	CHF119.00	
11351569	Bezahlt	10.08.2017	CHF85.20	
11319459	Bezahlt	03.08.2017	CHF85.20	
11165630	Bezahlt	06.07.2017	CHF136.00	
11056281	Bezahlt	16.06.2017	CHF68.00	
10931597	Bezahlt	20.05.2017	CHF88.50	
10316128	Bezahlt	21.01.2017	CHF53.50	
10209700	Bezahlt	31.12.2016	CHF110.80
9937044	Bezahlt	20.11.2016	CHF32.80	
9853234	Bezahlt	04.11.2016	CHF150.00	
9114980	Bezahlt	22.05.2016	CHF69.60	
