# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -2223 4 532 2081 13513015 3 ./15/disk/2001/Oktober/26.txt
DUPTYPE_FIRST_OCCURRENCE 2213 4 556 2081 13512988 3 ./14/disk/2001/November/23.txt
DUPTYPE_WITHIN_SAME_TREE -2213 4 556 2081 13513019 3 ./15/disk/2001/November/23.txt
DUPTYPE_FIRST_OCCURRENCE 2218 4 566 2081 13512982 3 ./14/disk/2001/Oktober/15.txt
DUPTYPE_WITHIN_SAME_TREE -2218 4 566 2081 13513013 3 ./15/disk/2001/Oktober/15.txt
DUPTYPE_FIRST_OCCURRENCE 1796 3 768 2081 13513410 3 ./34/disk/ELEKTRON/MAG_LITE.WRI
DUPTYPE_WITHIN_SAME_TREE -1796 3 768 2081 13513620 3 ./52/disk/ELEKTRON/MAG_LITE.WRI
DUPTYPE_WITHIN_SAME_TREE -1796 3 768 2081 13513936 3 ./86/disk/ELEKTRON/MAG_LITE.WRI
DUPTYPE_FIRST_OCCURRENCE 2262 4 879 2081 13514784 3 ./152/disk/NETWARE/V3_1X/ASPITRAN.DSK
DUPTYPE_WITHIN_SAME_TREE -2262 4 879 2081 13514777 3 ./152/disk/NETWARE/V4_XX/ASPITRAN.DSK
DUPTYPE_FIRST_OCCURRENCE 1343 3 896 2081 13514877 3 ./171/disk/MUSIK/GEHEIMSR.WRI
DUPTYPE_WITHIN_SAME_TREE -1343 3 896 2081 13513647 3 ./52/disk/ELEKTRON/GEHEIMSR.WRI
DUPTYPE_FIRST_OCCURRENCE 1728 3 919 2081 13513342 3 ./30/disk/BS/ECCODE.BAS
DUPTYPE_WITHIN_SAME_TREE -1728 3 919 2081 13513379 3 ./31/disk/BS/ECCODE.BAS
DUPTYPE_FIRST_OCCURRENCE 1732 3 952 2081 13513345 3 ./30/disk/BS/ECCODFX2.BAS
DUPTYPE_WITHIN_SAME_TREE -1732 3 952 2081 13513380 3 ./31/disk/BS/ECCODFX2.BAS
DUPTYPE_FIRST_OCCURRENCE 2220 4 979 2081 13512977 3 ./14/disk/2001/Oktober/17.txt
DUPTYPE_WITHIN_SAME_TREE -2220 4 979 2081 13513008 3 ./15/disk/2001/Oktober/17.txt
DUPTYPE_FIRST_OCCURRENCE 95 2 1024 2081 13514348 3 ./110/disk/01260497.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13512910 3 ./58/disk/02VIS_03.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13512867 3 ./58/disk/011_____.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13515099 3 ./187/disk/0120_2_7.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13513760 3 ./58/disk/03VIS_02.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13513673 3 ./53/disk/01310397.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13513600 3 ./51/disk/0110_O_C.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13512832 3 ./56/disk/01150397.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13513700 3 ./55/disk/01PIANO_.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13514357 3 ./110/disk/02151997.SEQ
DUPTYPE_WITHIN_SAME_TREE -95 2 1024 2081 13513757 3 ./55/disk/02131297.SEQ
DUPTYPE_FIRST_OCCURRENCE 93 2 1024 2081 13514342 3 ./110/disk/01260497.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13513594 3 ./51/disk/0110_O_C.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13512872 3 ./58/disk/02VIS_03.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13512857 3 ./58/disk/011_____.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13514351 3 ./110/disk/02151997.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13513703 3 ./55/disk/02131297.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13513694 3 ./55/disk/01PIANO_.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13513683 3 ./54/disk/01SONG01.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13512826 3 ./56/disk/01150397.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13513667 3 ./53/disk/01310397.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13514734 3 ./150/disk/04SNTHZ2.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13512914 3 ./58/disk/03VIS_02.DRM
DUPTYPE_WITHIN_SAME_TREE -93 2 1024 2081 13515093 3 ./187/disk/0120_2_7.DRM
DUPTYPE_FIRST_OCCURRENCE 1817 3 1024 2081 13513424 3 ./34/disk/PFADI/MORSE.WRI
DUPTYPE_WITHIN_SAME_TREE -1817 3 1024 2081 13513950 3 ./86/disk/PFADI/MORSE.WRI
